iter	Passed	Remaining
438	1323	1691
439	1326	1688
440	1328	1684
441	1330	1680
442	1333	1676
443	1335	1672
444	1337	1668
445	1340	1665
446	1342	1661
447	1344	1657
448	1347	1653
449	1349	1649
450	1351	1645
451	1354	1641
452	1356	1638
453	1358	1634
454	1361	1630
455	1363	1626
456	1365	1622
457	1368	1619
458	1370	1615
459	1372	1611
460	1375	1608
461	1378	1604
462	1380	1601
463	1382	1597
464	1385	1594
465	1388	1590
466	1390	1586
467	1393	1583
468	1395	1579
469	1397	1575
470	1400	1572
471	1402	1569
472	1405	1565
473	1408	1562
474	1410	1559
475	1412	1555
476	1415	1552
477	1418	1548
478	1420	1545
479	1423	1541
480	1425	1538
481	1427	1534
482	1430	1531
483	1432	1527
484	1435	1523
485	1437	1520
486	1440	1517
487	1442	1513
488	1445	1510
489	1447	1506
490	1450	1503
491	1452	1499
492	1455	1496
493	1457	1492
494	1460	1489
495	1462	1486
496	1465	1483
497	1468	1479
498	1470	1476
499	1472	1472
500	1475	1469
501	1477	1466
502	1480	1462
503	1482	1459
504	1485	1455
505	1487	1452
506	1490	1449
507	1492	1445
508	1495	1442
509	1497	1438
510	1499	1435
511	1502	1432
512	1505	1429
513	1507	1425
514	1509	1421
515	1512	1418
516	1514	1415
517	1517	1411
518	1519	1408
519	1522	1404
520	1524	1401
521	1526	1397
522	1528	1394
523	1531	1391
524	1534	1388
525	1536	1384
526	1538	1381
527	1541	1378
528	1544	1375
529	1546	1371
530	1549	1368
531	1552	1365
532	1556	1363
533	1559	1360
534	1561	1357
535	1564	1354
536	1566	1350
537	1570	1348
538	1573	1345
539	1575	1342
540	1578	1339
541	1580	1335
542	1583	1332
543	1587	1330
544	1590	1327
545	1592	1324
546	1595	1321
547	1598	1318
548	1603	1317
549	1605	1313
550	1608	1310
551	1610	1307
552	1613	1304
553	1616	1301
554	1620	1299
555	1623	1296
556	1627	1294
557	1630	1291
558	1632	1288
559	1638	1287
560	1641	1284
561	1644	1281
562	1646	1278
563	1650	1275
564	1653	1273
565	1656	1269
566	1659	1266
567	1662	1264
568	1664	1261
569	1667	1258
570	1670	1254
571	1672	1251
572	1675	1248
573	1677	1244
574	1679	1241
575	1682	1238
576	1685	1235
577	1688	1232
578	1690	1229
579	1692	1225
580	1696	1223
581	1698	1220
582	1701	1216
583	1704	1213
584	1706	1210
585	1709	1207
586	1712	1204
587	1714	1201
588	1717	1198
589	1719	1195
590	1722	1191
591	1727	1190
592	1729	1187
593	1734	1185
594	1736	1182
595	1742	1180
596	1744	1177
597	1747	1174
598	1750	1171
599	1752	1168
600	1756	1165
601	1759	1162
602	1761	1159
603	1764	1156
604	1766	1153
605	1769	1150
606	1772	1147
607	1774	1144
608	1779	1142
609	1781	1139
610	1786	1137
611	1789	1134
612	1793	1132
613	1796	1129
614	1799	1126
615	1802	1123
616	1805	1120
617	1809	1118
618	1811	1115
619	1815	1112
620	1818	1109
621	1822	1107
622	1825	1104
623	1827	1101
624	1830	1098
625	1833	1095
626	1835	1092
627	1838	1089
628	1841	1085
629	1844	1083
630	1847	1080
631	1850	1077
632	1854	1074
633	1856	1071
634	1860	1069
635	1862	1066
636	1865	1062
637	1868	1060
638	1871	1057
639	1876	1055
640	1879	1052
641	1883	1050
642	1886	1047
643	1889	1044
644	1892	1041
645	1894	1038
646	1897	1035
647	1899	1031
648	1901	1028
649	1904	1025
650	1907	1022
651	1909	1019
652	1912	1016
653	1915	1013
654	1918	1010
655	1921	1007
656	1924	1004
657	1926	1001
658	1929	998
659	1931	995
660	1934	992
661	1936	988
662	1939	985
663	1941	982
664	1944	979
665	1946	976
666	1949	973
667	1952	970
668	1954	967
669	1957	964
670	1959	960
671	1962	957
672	1964	954
673	1967	951
674	1969	948
675	1972	945
676	1976	942
677	1978	939
678	1981	936
679	1983	933
680	1986	930
681	1989	927
682	1992	924
683	1994	921
684	1997	918
685	2000	915
686	2002	912
687	2005	909
688	2008	906
689	2010	903
690	2014	900
691	2017	897
692	2019	894
693	2022	891
694	2025	888
695	2027	885
696	2030	882
697	2033	879
698	2036	876
699	2039	873
700	2041	870
701	2045	868
702	2048	865
703	2051	862
704	2054	859
705	2056	856
706	2059	853
707	2062	850
708	2064	847
709	2066	844
710	2070	841
711	2073	838
712	2076	835
713	2078	832
714	2082	830
715	2084	826
716	2089	824
717	2092	821
718	2094	818
719	2097	815
720	2099	812
721	2104	810
722	2106	807
723	2110	804
724	2113	801
725	2115	798
726	2118	795
727	2121	792
728	2124	789
729	2127	786
730	2129	783
731	2132	780
732	2134	777
733	2136	774
734	2139	771
735	2141	768
736	2143	765
737	2147	762
738	2149	759
739	2152	756
740	2155	753
741	2157	750
742	2159	747
743	2162	744
744	2165	741
745	2170	739
746	2173	736
747	2176	733
748	2179	730
749	2181	727
750	2184	724
751	2187	721
752	2189	718
753	2194	716
754	2197	713
755	2244	724
756	2250	722
757	2253	719
758	2260	717
759	2284	721
760	2289	719
761	2293	716
762	2300	714
763	2306	712
764	2309	709
765	2314	707
766	2316	703
767	2322	701
768	2325	698
769	2329	695
770	2331	692
771	2334	689
772	2336	686
773	2339	683
774	2341	679
775	2344	676
776	2347	673
777	2353	671
778	2357	668
779	2360	665
780	2363	662
781	2367	660
782	2372	657
783	2375	654
784	2377	651
785	2380	648
786	2383	644
787	2385	641
788	2388	638
789	2390	635
790	2393	632
791	2395	629
792	2398	626
793	2400	622
794	2403	619
795	2405	616
796	2408	613
797	2410	610
798	2413	607
799	2415	603
800	2418	600
801	2420	597
802	2423	594
803	2425	591
804	2427	588
805	2431	585
806	2434	582
807	2436	579
808	2439	575
809	2442	572
810	2444	569
811	2447	566
812	2449	563
813	2452	560
814	2454	557
815	2456	554
816	2459	550
817	2461	547
818	2465	544
819	2467	541
820	2470	538
821	2473	535
822	2475	532
823	2478	529
824	2482	526
825	2485	523
826	2488	520
827	2491	517
828	2493	514
829	2496	511
830	2499	508
831	2501	505
832	2505	502
833	2508	499
834	2510	496
835	2513	493
836	2516	490
837	2520	487
838	2522	484
839	2524	480
840	2527	477
841	2530	474
842	2532	471
843	2535	468
844	2538	465
845	2541	462
846	2544	459
847	2546	456
848	2549	453
849	2552	450
850	2555	447
851	2557	444
852	2560	441
853	2562	438
854	2565	435
855	2568	432
856	2571	429
857	2574	426
858	2576	422
859	2579	419
860	2581	416
861	2584	413
862	2587	410
863	2590	407
864	2593	404
865	2596	401
866	2598	398
867	2601	395
868	2604	392
869	2606	389
870	2609	386
871	2612	383
872	2614	380
873	2617	377
874	2619	374
875	2622	371
876	2624	368
877	2627	365
878	2631	362
879	2634	359
880	2636	356
881	2639	353
882	2642	350
883	2644	347
884	2647	343
885	2649	340
886	2652	337
887	2655	334
888	2657	331
889	2660	328
890	2662	325
891	2665	322
892	2668	319
893	2671	316
894	2673	313
895	2677	310
896	2679	307
897	2683	304
898	2686	301
899	2689	298
900	2693	295
901	2697	293
902	2700	290
903	2702	287
904	2705	284
905	2708	281
906	2711	278
907	2714	275
908	2717	272
909	2720	269
910	2723	266
911	2726	263
912	2729	260
913	2731	257
914	2734	253
915	2736	250
916	2739	247
917	2742	244
918	2746	242
919	2749	239
920	2752	236
921	2755	233
922	2758	230
923	2760	227
924	2763	224
925	2766	221
926	2769	218
927	2772	215
928	2775	212
929	2777	209
930	2781	206
931	2784	203
932	2790	200
933	2792	197
934	2796	194
935	2799	191
936	2802	188
937	2805	185
938	2807	182
939	2810	179
940	2812	176
941	2814	173
942	2819	170
943	2823	167
944	2825	164
945	2828	161
946	2831	158
947	2836	155
948	2842	152
949	2846	149
950	2849	146
951	2852	143
952	2854	140
953	2857	137
954	2860	134
955	2863	131
956	2865	128
957	2868	125
958	2872	122
959	2875	119
960	2878	116
961	2881	113
962	2884	110
963	2887	107
964	2890	104
965	2893	101
966	2895	98
967	2898	95
968	2901	92
969	2903	89
970	2906	86
971	2909	83
972	2911	80
973	2914	77
974	2916	74
975	2919	71
976	2921	68
977	2924	65
978	2926	62
979	2929	59
980	2931	56
981	2934	53
982	2936	50
983	2939	47
984	2941	44
985	2944	41
986	2947	38
987	2950	35
988	2953	32
989	2955	29
990	2958	26
991	2960	23
992	2963	20
993	2965	17
994	2968	14
995	2970	11
996	2973	8
997	2975	5
998	2978	2
999	2980	0
